#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
4.0%,2000,3.999999999999781,-34281.08401314964,299.4680183819046,--,--
6.0%,3000,5.999999999999561,-33522.2256944168,295.11851256738356,409,0:19
8.0%,4000,7.999999999999341,-33834.982624704484,293.4831176224061,408,0:19
10.0%,5000,10.000000000000009,-33936.812672939835,294.3789127412043,412,0:18
12.0%,6000,12.000000000000677,-33857.40086046081,301.1899447815578,410,0:18
14.0%,7000,14.000000000001345,-33643.79453739778,295.55342866848895,411,0:18
16.0%,8000,16.00000000000201,-33910.53104166837,302.0155364342867,412,0:17
18.0%,9000,18.000000000000902,-33571.06443337224,297.76951659068413,412,0:17
20.0%,10000,19.999999999999794,-33685.79097086812,301.5908918376837,412,0:16
22.0%,11000,21.999999999998685,-33848.251848004606,308.51001374521485,412,0:16
24.0%,12000,23.999999999997577,-33938.78987307179,302.30615120527324,412,0:15
26.0%,13000,25.99999999999647,-34106.18397774609,305.1563279674554,412,0:15
28.0%,14000,27.99999999999536,-33654.6027116206,303.88424807094583,411,0:15
30.0%,15000,29.99999999999425,-33726.55179276499,295.38393694417084,410,0:14
32.0%,16000,31.999999999993143,-33730.85421918741,302.15433282729106,411,0:14
34.0%,17000,33.99999999999559,-33735.940802549165,300.81787641366077,411,0:13
36.0%,18000,35.99999999999803,-33673.923176834614,296.55915004066884,411,0:13
38.0%,19000,38.000000000000476,-34227.66954854055,299.7832613402908,411,0:13
40.0%,20000,40.00000000000292,-34053.54207674751,295.007181793612,411,0:12
42.0%,21000,42.000000000005365,-33832.67415916332,309.1673805442995,411,0:12
44.0%,22000,44.00000000000781,-33762.94313398789,303.37719599504646,411,0:11
46.0%,23000,46.00000000001025,-33945.128863970254,300.2266480301643,411,0:11
48.0%,24000,48.0000000000127,-34092.24149756697,300.9265282435542,411,0:10
50.0%,25000,50.00000000001514,-33824.16137064218,297.62934674140604,411,0:10
52.0%,26000,52.000000000017586,-33655.68852185585,301.0425165674062,411,0:10
54.0%,27000,54.00000000002003,-33890.60203334401,304.0384970033592,411,0:09
56.0%,28000,56.000000000022474,-33963.60457553703,296.2726571344404,411,0:09
58.0%,29000,58.00000000002492,-33986.75344361884,295.40775516121647,411,0:08
60.0%,30000,60.00000000002736,-33775.67273285942,295.46063670051905,411,0:08
62.0%,31000,62.00000000002981,-33808.44594890839,297.8258173821003,411,0:07
64.0%,32000,64.00000000003224,-33792.117901696496,295.62732257734024,411,0:07
66.0%,33000,66.00000000002758,-33742.3779054875,299.8291906770996,412,0:07
68.0%,34000,68.00000000002292,-34141.14926226069,300.67047436441806,412,0:06
70.0%,35000,70.00000000001826,-34099.68612395454,291.31598050343314,411,0:06
72.0%,36000,72.0000000000136,-33937.62143569224,300.3085785053643,411,0:05
74.0%,37000,74.00000000000894,-34142.79696482547,298.293189454381,411,0:05
76.0%,38000,76.00000000000428,-33931.86142938145,292.79035751353945,412,0:05
78.0%,39000,77.99999999999962,-33847.51214752679,301.7368377187206,411,0:04
80.0%,40000,79.99999999999496,-33915.26186308359,299.61127251910654,411,0:04
82.0%,41000,81.9999999999903,-33695.72538051859,294.61334908837114,412,0:03
84.0%,42000,83.99999999998563,-33928.00237520807,299.33160438133586,412,0:03
86.0%,43000,85.99999999998097,-33956.27274865225,300.9676215083131,412,0:02
88.0%,44000,87.99999999997631,-33859.9266664736,306.5468014300659,411,0:02
90.0%,45000,89.99999999997165,-33926.24599248389,298.1062416925503,411,0:02
92.0%,46000,91.99999999996699,-33798.38779263896,299.2980421837525,411,0:01
94.0%,47000,93.99999999996233,-33550.13115342798,295.87337197951916,411,0:01
96.0%,48000,95.99999999995767,-33843.77324672175,294.8771193253588,411,0:00
98.0%,49000,97.999999999953,-33835.574787646176,296.60800862086353,411,0:00
100.0%,50000,99.99999999994834,-34152.6503314095,298.29337626212487,411,0:00
102.0%,51000,101.99999999994368,-33796.964840475084,297.7658065539659,411,0:00
