#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
4.0%,2000,3.999999999999781,-33826.9704053435,295.9917719818991,--,--
6.0%,3000,5.999999999999561,-33677.353927309996,297.34670838469066,440,0:18
8.0%,4000,7.999999999999341,-33684.156899546244,306.04321340318114,439,0:18
10.0%,5000,10.000000000000009,-33672.994991998814,304.72482146903445,440,0:17
12.0%,6000,12.000000000000677,-33663.2324730357,295.9632650798118,440,0:17
14.0%,7000,14.000000000001345,-33559.710010720766,303.63790221433123,440,0:16
16.0%,8000,16.00000000000201,-33490.567045343516,301.11414409133613,440,0:16
18.0%,9000,18.000000000000902,-33881.10951916458,298.51223557901903,439,0:16
20.0%,10000,19.999999999999794,-34072.484874516966,295.2562602849574,439,0:15
22.0%,11000,21.999999999998685,-33804.79495075444,296.5502920899112,439,0:15
24.0%,12000,23.999999999997577,-33824.22781477448,296.85812897796615,439,0:14
26.0%,13000,25.99999999999647,-33844.39437156737,303.7965562526251,439,0:14
28.0%,14000,27.99999999999536,-33894.620957415165,295.70996466617754,439,0:14
30.0%,15000,29.99999999999425,-33903.2525283263,298.49134490669104,439,0:13
32.0%,16000,31.999999999993143,-33362.44283730221,298.8828377471819,438,0:13
34.0%,17000,33.99999999999559,-33560.672027312525,295.6221279058818,439,0:13
36.0%,18000,35.99999999999803,-33918.81762251635,302.7678525613599,438,0:12
38.0%,19000,38.000000000000476,-33928.796403788816,300.1238836374339,438,0:12
40.0%,20000,40.00000000000292,-34356.947176354435,294.4744796980972,438,0:11
42.0%,21000,42.000000000005365,-33763.37959794044,296.54070192660555,438,0:11
44.0%,22000,44.00000000000781,-33805.190139995655,295.2794159418075,438,0:11
46.0%,23000,46.00000000001025,-33451.45953781988,300.62914183183767,438,0:10
48.0%,24000,48.0000000000127,-33971.50506486564,300.878014982062,438,0:10
50.0%,25000,50.00000000001514,-33754.39558409528,303.31893444267837,438,0:09
52.0%,26000,52.000000000017586,-33804.99799833708,305.75630778603727,438,0:09
54.0%,27000,54.00000000002003,-33704.013174338725,300.69473412766035,438,0:09
56.0%,28000,56.000000000022474,-33675.86896698642,296.9427073371723,438,0:08
58.0%,29000,58.00000000002492,-33557.18175238004,302.06274731002947,438,0:08
60.0%,30000,60.00000000002736,-33995.41343586915,302.333944537197,438,0:07
62.0%,31000,62.00000000002981,-33885.58692776861,300.6627207458989,438,0:07
64.0%,32000,64.00000000003224,-33481.67542806452,297.60927332150385,438,0:07
66.0%,33000,66.00000000002758,-33614.971399759874,297.19868293160886,438,0:06
68.0%,34000,68.00000000002292,-33604.47754656356,301.16295297952456,438,0:06
70.0%,35000,70.00000000001826,-33570.56698569697,303.2076077015325,438,0:05
72.0%,36000,72.0000000000136,-33505.92333062069,306.9416503892188,438,0:05
74.0%,37000,74.00000000000894,-33869.54652126937,298.47254787285885,437,0:05
76.0%,38000,76.00000000000428,-33786.77253220072,291.6532132638978,437,0:04
78.0%,39000,77.99999999999962,-34070.23686454493,301.2069246211164,437,0:04
80.0%,40000,79.99999999999496,-33920.903522155255,295.60936471523365,437,0:03
82.0%,41000,81.9999999999903,-33811.64973613337,297.2902447811106,437,0:03
84.0%,42000,83.99999999998563,-33994.10568413776,306.3441920085417,437,0:03
86.0%,43000,85.99999999998097,-34029.99632116863,294.9671408873495,437,0:02
88.0%,44000,87.99999999997631,-33968.239757395284,304.3659872658288,437,0:02
90.0%,45000,89.99999999997165,-33612.71532740997,299.28083567256004,436,0:01
92.0%,46000,91.99999999996699,-33703.24548409241,295.2729871362318,436,0:01
94.0%,47000,93.99999999996233,-33927.44116818619,303.7552286702715,436,0:01
96.0%,48000,95.99999999995767,-34000.47692601805,302.46310265563017,436,0:00
98.0%,49000,97.999999999953,-33879.41898009165,301.483994037386,436,0:00
100.0%,50000,99.99999999994834,-34021.83040101993,294.10899009713967,435,0:00
102.0%,51000,101.99999999994368,-34051.481320149076,301.3591245802279,435,0:00
