#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
4.0%,2000,3.999999999999781,-33782.20469981472,296.8276023752788,--,--
6.0%,3000,5.999999999999561,-34195.401851642724,303.5347305626513,417,0:19
8.0%,4000,7.999999999999341,-33860.03181724299,307.2985787111793,420,0:18
10.0%,5000,10.000000000000009,-33783.23452761807,299.3593034152904,419,0:18
12.0%,6000,12.000000000000677,-33915.23565039567,300.9063166991143,420,0:18
14.0%,7000,14.000000000001345,-33640.85719855611,303.813161358068,420,0:17
16.0%,8000,16.00000000000201,-33718.918396999,301.44471568445357,420,0:17
18.0%,9000,18.000000000000902,-33613.2533392296,302.24125235348225,420,0:16
20.0%,10000,19.999999999999794,-33723.61888817753,294.2362874485109,420,0:16
22.0%,11000,21.999999999998685,-33778.24634491778,291.7960301080136,420,0:16
24.0%,12000,23.999999999997577,-33763.825750264376,301.7461529900189,420,0:15
26.0%,13000,25.99999999999647,-33602.099251029016,302.74581886135275,420,0:15
28.0%,14000,27.99999999999536,-33805.61483159298,302.1262610696131,420,0:14
30.0%,15000,29.99999999999425,-33846.32437315043,301.0552098674237,420,0:14
32.0%,16000,31.999999999993143,-33920.03033825159,297.693876123042,420,0:13
34.0%,17000,33.99999999999559,-33753.726685462025,295.06203554944375,420,0:13
36.0%,18000,35.99999999999803,-34003.83718266941,303.8538100388939,420,0:13
38.0%,19000,38.000000000000476,-33842.29609244145,294.80408220495474,419,0:12
40.0%,20000,40.00000000000292,-34002.84445848335,304.1658017053555,419,0:12
42.0%,21000,42.000000000005365,-33907.70999134158,300.9273463200037,419,0:11
44.0%,22000,44.00000000000781,-34040.00685243376,295.9209255579272,419,0:11
46.0%,23000,46.00000000001025,-33621.98023023913,300.7047912377848,419,0:11
48.0%,24000,48.0000000000127,-34101.1357668781,305.75178477547234,419,0:10
50.0%,25000,50.00000000001514,-33569.36614943157,302.4357608754362,420,0:10
52.0%,26000,52.000000000017586,-34082.110168986736,296.57660745544484,420,0:09
54.0%,27000,54.00000000002003,-34357.486362596435,292.94652284641194,420,0:09
56.0%,28000,56.000000000022474,-34078.32515822748,301.98743249659674,420,0:09
58.0%,29000,58.00000000002492,-33893.62642329985,298.7179964240717,420,0:08
60.0%,30000,60.00000000002736,-34086.59904760677,297.0626312573767,420,0:08
62.0%,31000,62.00000000002981,-33789.858548018245,301.1550644241364,419,0:07
64.0%,32000,64.00000000003224,-33734.80114558759,296.4949986586894,419,0:07
66.0%,33000,66.00000000002758,-33721.46451182432,295.0140869843606,419,0:07
68.0%,34000,68.00000000002292,-33615.42089863442,302.7733760757818,418,0:06
70.0%,35000,70.00000000001826,-33538.8207484084,295.75683465561974,418,0:06
72.0%,36000,72.0000000000136,-33954.71924121225,302.6430522513353,418,0:05
74.0%,37000,74.00000000000894,-33625.741184958824,304.883940568223,418,0:05
76.0%,38000,76.00000000000428,-33849.29747573008,308.0401840050395,418,0:04
78.0%,39000,77.99999999999962,-34030.30924112697,302.4584777367266,418,0:04
80.0%,40000,79.99999999999496,-33867.917919352665,296.6469589067072,418,0:04
82.0%,41000,81.9999999999903,-33204.14123053052,303.3839601551709,418,0:03
84.0%,42000,83.99999999998563,-33881.61775212249,301.4544076930738,418,0:03
86.0%,43000,85.99999999998097,-33863.90566078309,296.918562919673,419,0:02
88.0%,44000,87.99999999997631,-33772.99748223036,292.71347714951963,419,0:02
90.0%,45000,89.99999999997165,-33880.94495906752,300.3426792650455,418,0:02
92.0%,46000,91.99999999996699,-34224.78296256436,296.38183404286855,418,0:01
94.0%,47000,93.99999999996233,-33839.203435092175,298.78933895044656,418,0:01
96.0%,48000,95.99999999995767,-33660.65053933004,299.27767742242924,418,0:00
98.0%,49000,97.999999999953,-33807.94956212257,303.78495439832295,418,0:00
100.0%,50000,99.99999999994834,-34143.423729878254,295.097078656045,418,0:00
102.0%,51000,101.99999999994368,-33986.810031160065,294.4597315215618,418,0:00
